<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20240111;000000;0.11776;0.11786;0.11546;0.11706;1962450000;0.0024;0.002338424;;;;;
20240112;000000;0.11758;0.11894;0.11664;0.11738;1545180000;0.0023;0.002172396;;;;;
20240115;000000;0.11772;0.11834;0.11702;0.11818;1219650000;0.00132;0.002194886;;;;;
20240116;000000;0.11832;0.11844;0.117;0.11724;1919740000;0.00144;0.001935864;;;;;
20240117;000000;0.11704;0.11804;0.1167;0.1174;1252990000;0.00134;0.001769292;;;;;
20240118;000000;0.1176;0.1185;0.1161;0.1166;1776000000;0.0024;0.001691622;;;;;
20240119;000000;0.11672;0.11708;0.11426;0.11612;1966670000;0.00282;0.001816732;;;;;
20240122;000000;0.11614;0.11774;0.1158;0.1174;1389950000;0.00194;0.001992138;;;;;
20240123;000000;0.11792;0.1235;0.1174;0.12322;7319680000;0.0061;0.002026062;;;;;
20240124;000000;0.12404;0.12446;0.12102;0.12124;4038470000;0.00344;0.003239318;;;;;
20240125;000000;0.12122;0.124;0.11956;0.123;3033820000;0.00444;0.003455884;;;;;
20240126;000000;0.12266;0.12354;0.12134;0.12166;1126660000;0.0022;0.003850508;;;;;
20240129;000000;0.122;0.12666;0.1218;0.12558;4789640000;0.00486;0.003470952;;;;;
20240130;000000;0.12614;0.1279;0.124;0.12484;3399750000;0.0039;0.00421089;;;;;
20240131;000000;0.12566;0.12796;0.12478;0.1274;2609680000;0.00318;0.00380715;;;;;
20240201;000000;0.12742;0.12856;0.12604;0.12604;1966270000;0.00252;0.003689138;;;;;
20240202;000000;0.12636;0.12672;0.12512;0.12562;978660000;0.0016;0.003224304;;;;;
20240205;000000;0.1256;0.12788;0.12524;0.12726;1309380000;0.00264;0.002998144;;;;;
20240206;000000;0.12726;0.1284;0.12726;0.12796;1754730000;0.00114;0.002701268;;;;;
20240207;000000;0.128;0.12878;0.12694;0.127;1364200000;0.00184;0.002105526;;;;;
20240208;000000;0.127;0.12774;0.1241;0.1242;2058510000;0.00364;0.001913124;;;;;
20240209;000000;0.12518;0.12618;0.12314;0.12554;1224260000;0.00304;0.002309088;;;;;
20240212;000000;0.12532;0.12588;0.12366;0.1247;1004980000;0.00222;0.002580804;;;;;
20240213;000000;0.1245;0.12598;0.1244;0.12498;965370000;0.00158;0.002400874;;;;;
20240214;000000;0.12588;0.12736;0.12524;0.12612;1508990000;0.00212;0.00234835;;;;;
