<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240314;000000;161.8;161.81;160.53;161.1;13996010;1.28
20240315;000000;161.14;161.42;160.04;160.86;14151130;1.38
20240318;000000;161.12;161.43;160.31;160.58;14241450;1.12
20240319;000000;160.51;161.25;158.04;158.55;38252890;3.21
20240320;000000;158.6;158.98;157.75;158.42;21060990;1.23
20240321;000000;158.7;159.16;157.87;158.28;18038400;1.29
20240322;000000;158.39;158.69;156;156.44;28149960;2.69
20240325;000000;157.1;158.97;155.75;158.84;26914060;3.22
20240326;000000;159.1;159.45;156.9;157.94;27990050;2.55
20240327;000000;158.01;158.6;157.2;157.79;11865150;1.4
20240328;000000;157.79;157.95;157.04;157.05;10217550;0.91
20240329;000000;157.04;157.9;156.51;157.22;16044130;1.39
20240401;000000;157.69;158.25;157.43;158.06;16732650;0.82
20240402;000000;158.17;164.98;157.51;164.18;72244180;7.47
20240403;000000;164.1;165.36;162.12;162.63;42984880;3.24
20240404;000000;162.77;164.3;161.52;162.69;30238210;2.78
20240405;000000;162.78;164.63;162.1;163.59;22814020;2.53
20240408;000000;164.03;164.9;163.57;163.89;16445250;1.33
20240409;000000;164;165.79;163.49;164.08;29054750;2.3
20240410;000000;164.14;165.94;163.59;164.74;23208780;2.35
20240411;000000;164.97;166.33;164.15;166.24;30774040;2.18
20240412;000000;166.52;166.8;164.69;164.83;26202270;2.11
20240415;000000;165;165.66;163.27;163.33;21562710;2.39
20240416;000000;163.39;164.78;162.65;164.38;19254140;2.13
20240417;000000;164.58;165.68;163.78;164.62;20063060;1.9
20240418;000000;164.74;166.1;163.85;165.4;17621040;2.25
20240419;000000;165.53;168.15;165;167.03;36205320;3.15
20240422;000000;167.27;167.89;165.55;166.77;26923930;2.34
20240423;000000;166.59;167.43;162.62;163.7;34959300;4.81
20240424;000000;163.7;164.41;162.62;162.86;20797970;1.79
20240425;000000;162.99;164.2;162.67;163.35;14574730;1.53
20240426;000000;163.45;164.19;162.11;162.46;23101170;2.08
20240427;000000;162.6;166.49;161.7;164.06;31250400;4.79
20240429;000000;164.1;165.24;163.83;164.03;7800610;1.41
20240430;000000;164.35;164.55;163.22;163.22;7166760;1.33
20240502;000000;163.29;165.36;156.38;157.75;117380380;8.98
20240503;000000;157.43;157.74;154;155.2;66221110;3.74
20240506;000000;155.32;155.76;153;153.64;26977110;2.76
20240507;000000;154;154.96;153.5;154.16;16549540;1.46
20240508;000000;154.22;154.75;154.16;154.22;9615650;0.59
20240510;000000;154.24;154.89;154.24;154.58;4938150;0.65
20240513;000000;155.19;158.65;154.91;157.9;36367940;3.74
20240514;000000;157.98;158.4;155.82;156.16;18636890;2.58
20240515;000000;156.37;157.29;154.91;156.97;27230820;2.38
20240516;000000;157;158.1;156.67;157.88;24775560;1.43
20240517;000000;158.3;158.3;154.75;155.17;40679710;3.55
20240520;000000;155.4;155.69;145.01;145.03;138793230;10.68
20240521;000000;144.24;145.68;137.35;139.54;177093860;8.33
20240522;000000;139.8;142.2;138.67;139.25;54098250;3.53
20240523;000000;139.07;139.07;133.17;134.69;110661490;5.9
20240524;000000;134.95;136.45;133;133.34;58717990;3.45
20240527;000000;134.2;134.69;127.56;128.42;89193240;7.13
20240528;000000;128.77;131.75;126.82;128.47;63443960;4.93
20240529;000000;129;129.82;127.12;128.89;45011470;2.7
20240530;000000;129.5;129.53;123.26;124.93;45247030;6.27
20240531;000000;125.1;127.92;123.81;126.46;74986990;4.11
20240603;000000;126.67;128.61;122.09;124.14;70452330;6.52
20240604;000000;124.3;125.16;122.75;125.1;34739690;2.41
20240605;000000;125.72;126.5;123.63;124.02;37174310;2.87
20240606;000000;124.1;124.94;123.38;123.6;20658080;1.56
20240607;000000;123.8;125.82;122.16;122.78;47531080;3.66
20240610;000000;123.08;123.64;117.54;119;85156160;6.1
20240611;000000;119.15;119.34;116.33;117.53;62417250;3.01
20240613;000000;113;119.93;112.07;119.63;69585070;7.86
20240614;000000;119.95;122.01;118.89;121.65;49949590;3.12
20240617;000000;122.34;122.68;120.79;121.54;28829870;1.89
20240618;000000;121.54;122.04;117.18;118.02;40909060;4.86
20240619;000000;118.05;118.5;112.54;113.85;74681030;5.96
20240620;000000;114.14;116.39;110;115.92;176275570;6.39
20240621;000000;116.04;117.25;114.14;115.4;45925320;3.11
20240624;000000;115.39;116.35;113.2;113.67;27304980;3.15
20240625;000000;114;115.09;112.46;114.97;32077620;2.63
20240626;000000;115.05;117.25;114.65;117;39669450;2.6
20240627;000000;117.05;118.37;115.4;115.65;30906770;2.97
20240628;000000;116.33;116.65;114.88;115.94;23809940;1.77
20240701;000000;116.05;121.82;116;121.4;59969450;5.82
20240702;000000;121.4;127.25;120.76;126.2;130001830;6.49
20240703;000000;126.25;129.45;124.14;124.96;165261050;5.31
20240704;000000;125.01;126.8;121.7;122.17;80851800;5.1
20240705;000000;122.03;127;121.2;126.74;124560730;5.8
20240708;000000;127.5;128.84;125.25;127.74;89515150;3.59
20240709;000000;127.99;128.97;123.15;124.05;90375230;5.82
20240710;000000;124;125;117.75;117.81;99601990;7.25
20240711;000000;117.61;122.7;117.6;121.75;72079520;5.1
20240712;000000;121.9;122.47;118.23;119.65;48194040;4.24
20240715;000000;120;120.99;118.52;119.28;40496850;2.47
20240716;000000;119.28;126.01;118.61;124.74;93643180;7.4
20240717;000000;125.12;126.83;123.21;124.46;67220680;3.62
20240718;000000;124.46;129.85;123.38;129.81;89766080;6.47
20240719;000000;130.12;132.47;128.79;130.88;92815970;3.68
20240722;000000;131.95;132.81;130.28;131.61;53044470;2.53
20240723;000000;131.7;135;129.57;134.07;69150170;5.43
20240724;000000;134.09;137.28;133.42;136.73;64045270;3.86
20240725;000000;136.75;137.14;134.87;135.1;40983920;2.27
20240726;000000;135.1;136.68;132.59;135;82109580;4.09
20240729;000000;134.49;134.77;130.12;130.99;64573400;4.65
20240730;000000;130.8;134.07;130.46;132.4;53190140;3.61
20240731;000000;132.35;134.49;132.01;133.31;48325370;2.48
20240801;000000;133.48;134.35;131.51;132.05;29581130;2.84
20240802;000000;132.05;132.6;129.66;131.45;40694220;2.94
20240805;000000;129.06;130.54;127;127.25;59457200;3.54
20240806;000000;128.39;129.6;127.34;128.7;37085700;2.26
20240807;000000;128.88;130.34;126.18;129.84;61734090;4.16
20240808;000000;130.02;130.91;127.36;128.14;39237920;3.55
20240809;000000;128.03;129.76;127.27;128.64;29387830;2.49
20240812;000000;128.38;129.35;127.11;128.71;25800830;2.24
20240813;000000;128.79;130.8;128.79;130.49;23811100;2.01
20240814;000000;130.8;131.49;129.51;129.84;21667760;1.98
20240815;000000;129.98;130.31;127.01;127.6;25693730;3.3
20240816;000000;127.61;128.24;125.26;126.36;30430620;2.98
20240819;000000;126.42;127.69;125.21;126.29;30450030;2.48
20240820;000000;126.29;127.64;125.33;125.85;28164010;2.31
20240821;000000;125.5;126.4;123.03;123.38;35932010;3.37
20240822;000000;123.4;123.97;117.84;118.51;56139350;6.13
20240823;000000;118.2;119.24;115;116.81;60586860;4.24
20240826;000000;119.5;128.01;119.49;126.8;123117380;8.52
20240827;000000;127.3;127.98;122.52;124.47;92498810;5.46
20240828;000000;124.34;125.67;121;124.51;71144630;4.67
20240829;000000;124.49;130.91;123.55;130.27;165035420;7.36
20240830;000000;130.88;131.3;122.6;122.97;121346360;8.7
20240902;000000;122.89;124.73;121.43;123.86;82837340;3.3
20240903;000000;124.15;125.5;118.6;120.6;84447100;6.9
20240904;000000;120.7;122.9;119.66;122.46;45755380;3.24
20240905;000000;123.5;124.95;121.54;123.76;49655790;3.41
20240906;000000;123.75;124.6;122.26;123;24880630;2.34
20240909;000000;123.62;125.48;123.2;125.04;31663950;2.28
20240910;000000;125.52;125.96;122.82;123.44;27943810;3.14
20240911;000000;123.4;123.67;121.35;121.62;22166340;2.32
20240912;000000;121.61;121.84;117.32;118.78;46780470;4.52
20240913;000000;118.79;119.97;116.01;119.91;55804200;3.96
20240916;000000;120.6;122.62;119.52;121.73;38822020;3.1
20240917;000000;121.92;123.47;120.17;123.1;36844620;3.3
20240918;000000;122.63;123.9;121.9;122.18;30596960;2
20240919;000000;121.92;123.39;121.21;122.24;43276000;2.18
20240920;000000;122.26;123.18;121.86;122.4;28494600;1.32
20240923;000000;122.68;130.8;122.62;130.35;138202790;8.18
20240924;000000;130.89;139.9;130.66;139.71;295791620;9.24
20240925;000000;140.5;140.99;134.29;135.44;149560020;6.7
20240926;000000;134.94;138.48;133.64;137.35;131130280;4.84
20240927;000000;137.58;141.77;136.4;140.5;86196110;5.37
20240930;000000;140.51;144.2;136.82;138.19;236906630;7.38
20241001;000000;137.9;139.2;134.44;136.21;98465200;4.76
20241002;000000;136.21;137.16;131.7;132.12;66760070;5.46
20241003;000000;131.59;134.16;130.32;133.87;57302470;3.84
20241004;000000;134.06;134.49;132.03;133.32;28779720;2.46
20241007;000000;133.32;133.66;131.6;133.5;25422430;2.06
20241008;000000;133.18;134.88;132.9;133.83;32037150;1.98
20241009;000000;133.75;133.92;131.5;132.51;19454930;2.42
20241010;000000;132.46;133.49;132.15;132.69;17529590;1.34
20241011;000000;132.79;132.91;131.52;131.82;21583200;1.39
20241014;000000;131.5;133.35;130.51;131.92;34719060;2.84
20241015;000000;131.85;134.4;131.43;133.97;28284570;2.97
20241016;000000;134.02;138.8;133.96;137.24;78137070;4.84
20241017;000000;137.46;138.29;134.8;136.05;49307200;3.49
20241018;000000;136.26;137.3;134.8;135.67;26443420;2.5
20241021;000000;135.69;136.6;135.11;135.97;19244090;1.49
20241022;000000;136.12;140.08;135.51;136.24;55308450;4.57
20241023;000000;136;137.5;134.13;134.76;35864930;3.37
20241024;000000;134.83;135.2;132.15;134.12;28806610;3.05
20241025;000000;134.16;136.5;132;133;55151100;4.5
20241028;000000;131.97;132.26;123.5;124.87;80382500;8.76
20241029;000000;125.12;126.96;121.85;125.97;67260130;5.11
20241030;000000;126.11;127.2;123.52;123.8;35233650;3.68
20241031;000000;123.4;124.94;122.25;123.44;34658890;2.69
20241101;000000;123.8;125.67;122.71;125.6;24628620;2.96
20241102;000000;125.73;129.3;125.01;128.7;32510070;4.29
20241105;000000;129;129.37;127.37;128.77;22989490;2
20241106;000000;133.12;136.59;130.4;131.92;108572240;6.19
20241107;000000;131.85;135.54;129.65;135.52;52608800;5.89
20241108;000000;135.81;137;133.64;135.9;64489980;3.36
20241111;000000;137.19;138.33;135.24;138.12;45550660;3.09
20241112;000000;137.82;137.82;134.64;135.16;33025870;3.18
20241113;000000;134.98;136.65;132.27;132.6;32544540;4.38
20241114;000000;132.19;133.34;130.67;131.61;40467310;2.67
20241115;000000;131.63;134;131.02;133.37;48108260;2.98
20241118;000000;129.6;130.73;128.75;129.12;59824020;1.98
20241119;000000;128.99;129.38;123.8;125.4;58126980;5.58
