<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240201;000000;200.2;205.04;200.02;204.58;10105040;5.02
20240202;000000;204.9;207.66;202.12;202.9;12257410;5.54
20240205;000000;202.9;203.74;199.72;200.72;5878560;4.02
20240206;000000;200.74;201.06;198.16;199.7;6744270;2.9
20240207;000000;200;200.28;195.54;197.1;7085890;4.74
20240208;000000;197.2;199.24;194.54;196.12;6660900;4.7
20240209;000000;196.38;200.52;195.16;199.72;6615840;5.36
20240212;000000;201;201.2;196.54;198.06;6192530;4.66
20240213;000000;198.44;199.56;196.06;197.5;4324890;3.5
20240214;000000;197.6;198.4;196.04;196.58;4183580;2.36
20240215;000000;196.6;199.6;194.62;199.56;7194680;4.98
20240216;000000;199.72;201.5;196.72;198.76;9480520;4.78
20240219;000000;198.98;201.38;197;197.82;7367790;4.38
20240220;000000;197.8;198.76;188.28;190.64;9662180;10.48
20240221;000000;190.34;192.8;186.72;189.78;6874550;6.08
20240222;000000;190.24;194.46;189.22;193.3;6512210;5.24
20240226;000000;193.34;197.7;193.3;197.52;6358860;4.4
20240227;000000;197.34;199.3;196.4;197.24;5507430;2.9
20240228;000000;197.32;198.66;197.02;197.14;3042180;1.64
20240229;000000;197.02;200.4;196.52;200.34;4093690;3.88
20240301;000000;200.46;206.96;200.24;205.92;17428580;6.72
20240304;000000;206.58;207.56;202.84;204.54;8310180;4.72
20240305;000000;204.68;205.48;202.94;205;2933290;2.54
20240306;000000;205.08;209.96;204.1;206.68;8055720;5.86
20240307;000000;206.6;208.34;205.2;207.28;3649140;3.14
20240311;000000;207.36;208.82;204.18;205.24;4639640;4.64
20240312;000000;204.92;205.66;202.74;205.18;4516170;2.92
20240313;000000;205.6;207.4;204.68;204.84;3069000;2.72
20240314;000000;204.4;207.94;202.02;205.66;7860500;5.92
20240315;000000;205.5;209.42;204.72;209;7919540;4.7
20240318;000000;209.94;211.4;207.1;209.18;7513590;4.3
20240319;000000;209.02;209.12;205.2;206.32;4082110;3.92
20240320;000000;206.3;212.74;205.92;212;12194070;6.82
20240321;000000;212.74;218.56;209.7;218.5;14259170;8.86
20240322;000000;217.96;219.62;212.62;214.14;13074280;7
20240325;000000;214.56;221.2;214.42;221.02;10868300;6.78
20240326;000000;221.34;222;219.36;221.8;4832990;2.64
20240327;000000;221.9;223.46;220.3;222.6;5199720;3.16
20240328;000000;223.44;223.5;220;220.34;3749150;3.5
20240329;000000;220.3;223;218.58;221.4;5905570;4.42
20240401;000000;222.2;222.72;218.74;218.86;4063630;3.98
20240402;000000;219;221.3;218.08;220.26;3938890;3.22
20240403;000000;220.48;222.4;220.06;221.54;4204320;2.34
20240404;000000;221.58;223.46;219.08;220.24;5523920;4.38
20240405;000000;220.28;221.32;218.12;218.5;8233770;3.2
20240408;000000;218.6;221.38;212.12;218.12;16760850;9.26
20240409;000000;218.34;219.68;213.74;215.9;7868710;5.94
20240410;000000;215.82;228.32;214.26;226.08;38661410;14.06
20240411;000000;227.78;229.14;226.1;227.36;16838690;3.04
20240412;000000;227.68;229.46;226.54;228.12;9455460;2.92
20240415;000000;228.3;230.86;228.3;229.7;8762280;2.56
20240416;000000;230.1;230.7;227.62;228.38;6789310;3.08
20240417;000000;228.14;228.92;226;226.5;7012300;2.92
20240418;000000;227;227.98;225.64;227.54;3832160;2.34
20240419;000000;227.66;228.38;225.98;226.2;4752090;2.4
20240422;000000;226.6;227.8;226.3;227.12;3880820;1.5
20240423;000000;227.56;231.18;226.9;228.58;8498730;4.28
