<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240328;000000;3162.5;3165;3100.5;3119;1110630;64.5
20240329;000000;3125.5;3192;3123.5;3163;1677938;68.5
20240401;000000;3170;3218.5;3170;3205;2330984;48.5
20240402;000000;3210;3222;3165;3186;2182419;57
20240403;000000;3192;3206.5;3133.5;3174.5;1942526;73
20240404;000000;3170;3196;3125;3128;1774609;71
20240405;000000;3139.5;3152.5;3126;3140;1151512;26.5
20240408;000000;3148;3168;3142;3153.5;1315689;26
20240409;000000;3157;3167.5;3109;3129;1251010;58.5
20240410;000000;3132.5;3143;3066.5;3134;1963916;76.5
20240411;000000;3137.5;3143;3093.5;3108;851974;49.5
20240412;000000;3111;3114;3078.5;3086.5;727081;35.5
20240415;000000;3088.5;3115;3086.5;3101;963337;28.5
20240416;000000;3104;3108;3060;3069;950901;48
20240417;000000;3071.5;3077;3022.5;3028;1881328;54.5
20240418;000000;3032;3090;3029;3071;1793018;61
20240419;000000;3083;3108.5;3070;3073.5;1234876;38.5
20240422;000000;3084.5;3088.5;3054;3065.5;788768;34.5
20240423;000000;3071;3149;3066.5;3103.5;2635199;82.5
20240424;000000;3109.5;3120;3091.5;3098;521738;28.5
20240425;000000;3103.5;3108.5;3077;3097;638059;31.5
20240426;000000;3099;3104.5;3086;3090.5;578933;18.5
20240427;000000;3094;3100;3073;3086;636531;27
20240429;000000;3089;3105;3084.5;3090.5;314967;20.5
20240430;000000;3092.5;3093.5;3081.5;3084;180021;12
20240502;000000;3086;3096.5;3075;3079;429036;21.5
20240503;000000;3081;3082.5;3054;3055;568672;28.5
20240506;000000;3058;3165;3056;3153.5;2462025;109
20240507;000000;3157;3189;3121;3136.5;1499948;68
20240508;000000;3146.5;3183;3075;3086;1765221;108
20240510;000000;3088.5;3128;3088.5;3100;503624;39.5
20240513;000000;3124.5;3133.5;3054.5;3087.5;1604256;79
20240514;000000;3090.5;3103.5;3077;3095;831150;26.5
20240515;000000;3097.5;3103.5;3080;3100;647892;23.5
20240516;000000;3105.5;3139.5;3083.5;3089.5;1752865;56
20240517;000000;3093;3093.5;3057;3060;794785;36.5
20240520;000000;3067.5;3078;2980;3022.5;2368312;98
20240521;000000;3023;3023;2982.5;2999.5;811778;40.5
20240522;000000;3002;3007;2951.5;2954.5;1120974;55.5
20240523;000000;2955;2998.5;2904;2967;1970639;94.5
20240524;000000;2974.5;2986.5;2909.5;2909.5;998473;77
20240527;000000;2913;2944.5;2817.5;2822;2332217;127
20240528;000000;2833.5;2899.5;2811.5;2867;1260966;88
20240529;000000;2876.5;2977.5;2813.5;2929;2303954;164
20240530;000000;2942;2982;2868;2897;1604314;114
20240531;000000;2899;2923;2767;2810;1609169;156
20240603;000000;2829;2853;2675;2804;2061491;178
20240604;000000;2805;2903;2785;2893;1436654;118
20240605;000000;2905;2972.5;2896.5;2919;1836254;76
20240606;000000;2915;2932;2875;2912.5;993835;57
20240607;000000;2915.5;2994.5;2911;2957;1425483;83.5
20240610;000000;2972.5;2999;2851;2886.5;1393094;148
20240611;000000;2891.5;2909;2850;2890.5;1160274;59
20240613;000000;2815;2905;2724.5;2886;1434005;180.5
20240614;000000;2888;2949;2887.5;2906;988880;61.5
20240617;000000;2917;2938;2877;2897;999881;61
20240618;000000;2896;2899;2803.5;2815.5;1035029;95.5
20240619;000000;2819.5;2849;2752;2774;1264903;97
20240620;000000;2780;2947;2780;2923;2519306;167
20240621;000000;2932;2949;2877.5;2884.5;1276658;71.5
20240624;000000;2890;2915;2841;2868;1226724;74
20240625;000000;2875.5;2896.5;2851;2895.5;652754;45.5
20240626;000000;2899.5;2968.5;2895.5;2959.5;1219394;73
20240627;000000;2965.5;2998;2935;2958;1168290;63
20240628;000000;2970;2989.5;2955;2968.5;755957;34.5
20240701;000000;2986;3020.5;2980;2991.5;1008971;40.5
20240702;000000;2991.5;2995;2935;2940;920875;60
20240703;000000;2941.5;2954;2900;2903.5;857657;54
20240704;000000;2903;2911.5;2827;2831.5;1136352;84.5
20240705;000000;2831.5;2846.5;2791.5;2815.5;1252560;55
20240708;000000;2821.5;2841.5;2792.5;2795;712673;49
20240709;000000;2800;2809;2670;2674.5;1654653;139
20240710;000000;2677.5;2738.5;2582.5;2605.5;2058164;156
20240711;000000;2615;2746;2607.5;2741;1695325;138.5
20240712;000000;2745;2757.5;2675.5;2692.5;1449597;82
20240715;000000;2705;2710;2593;2614.5;1505128;117
20240716;000000;2615.5;2679;2555;2652;2548562;124
20240717;000000;2658.5;2691.5;2608.5;2627.5;1620783;83
20240718;000000;2630.5;2736;2614;2736;1641429;122
20240719;000000;2738;2796;2689.5;2746;2051037;106.5
20240722;000000;2773.5;2814.5;2751.5;2772.5;1800938;63
20240723;000000;2772;2785.5;2717;2729;1856554;68.5
20240724;000000;2731.5;2742;2705;2710;1519398;37
20240725;000000;2710;2715;2678;2685;1149222;37
20240726;000000;2690;2717.5;2605;2613.5;2365590;112.5
20240729;000000;2608;2610;2543.5;2570.5;1781040;66.5
20240730;000000;2569.5;2669;2553;2655.5;1711381;116
20240731;000000;2654.5;2681;2620;2635;967932;61
20240801;000000;2639;2650;2601;2603;702257;49
20240802;000000;2606.5;2614;2570;2574;914905;44
20240805;000000;2544;2580;2501;2546;2131350;79
20240806;000000;2574.5;2595;2524;2555;1402101;71
20240807;000000;2561.5;2649.5;2530;2607.5;2143872;119.5
20240808;000000;2626;2638;2557.5;2571;1561984;80.5
20240809;000000;2574.5;2624;2564;2572;1170945;60
20240812;000000;2574.5;2639.5;2560;2617.5;1624300;79.5
20240813;000000;2633.5;2648.5;2621.5;2631.5;1233382;27
20240814;000000;2640.5;2647;2588.5;2590;1046154;58.5
20240815;000000;2597.5;2602.5;2564;2567;1167310;38.5
20240816;000000;2575;2597;2553.5;2563;1219015;43.5
20240819;000000;2585;2615.5;2571;2615.5;2289791;44.5
20240820;000000;2621;2680;2591.5;2617;3155076;88.5
20240821;000000;2623;2652;2596;2630;1999660;56
20240822;000000;2632.5;2644.5;2555;2575;1663474;89.5
20240823;000000;2580;2589;2481.5;2530;2633016;107.5
20240826;000000;2587.5;2596.5;2553.5;2576;1639597;43
20240827;000000;2581;2589.5;2532;2546.5;1269641;57.5
20240828;000000;2546.5;2548.5;2502;2534;1202917;46.5
20240829;000000;2534;2545;2490;2504;1414794;55
20240830;000000;2513.5;2515;2393;2397;2286395;122
20240902;000000;2377;2390;2233;2245.5;3615240;157
20240903;000000;2259;2330;2210;2256;3492883;120
20240904;000000;2263;2329;2246.5;2327.5;2212652;82.5
20240905;000000;2348;2365;2284.5;2297;2052893;80.5
20240906;000000;2298;2333;2287.5;2316;1114953;45.5
20240909;000000;2332.5;2415;2327;2411.5;2142216;88
20240910;000000;2440;2440;2361;2388;2104852;79
20240911;000000;2385;2402;2313;2322.5;1708201;89
20240912;000000;2321;2340;2297;2315.5;1565551;43
20240913;000000;2319.5;2347;2262;2329;2704394;85
20240916;000000;2351;2432;2343.5;2432;2159634;88.5
20240917;000000;2436;2456.5;2402;2448.5;2106345;54.5
20240918;000000;2449;2488;2432.5;2442.5;1936711;55.5
20240919;000000;2450;2489.5;2440.5;2470;1722083;49
20240920;000000;2475;2529.5;2475;2529;1868131;54.5
20240923;000000;2554.5;2585;2538;2585;1563388;47
20240924;000000;2627;2645;2583.5;2642.5;2522789;61.5
20240925;000000;2638;2779;2618;2659.5;6875558;161
20240926;000000;2648;2695;2602;2614;3648651;93
20240927;000000;2617;2669.5;2611.5;2643;2806595;58
20240930;000000;2656.5;2685.5;2618;2623.5;2643879;67.5
20241001;000000;2627.5;2628;2541;2560.5;3896831;87
20241002;000000;2563.5;2591;2468.5;2498.5;3714904;122.5
20241003;000000;2502.5;2589;2487.5;2589;4108937;101.5
20241004;000000;2596;2618.5;2545.5;2547.5;3242524;73
20241007;000000;2556.5;2568;2518;2523.5;2611855;50
20241008;000000;2531.5;2552;2509;2531;2025319;43
20241009;000000;2535;2597;2524;2568;4250517;73
20241010;000000;2575;2592.5;2553.5;2566.5;1854276;39
20241011;000000;2569;2571.5;2544;2546;1439941;27.5
20241014;000000;2555.5;2619;2536;2598.5;3136170;83
20241015;000000;2598;2638.5;2590.5;2619.5;2834739;48
20241016;000000;2625;2637;2594;2601.5;2271628;43
20241017;000000;2607.5;2612.5;2573;2577.5;1876787;39.5
20241018;000000;2577;2586;2557.5;2568.5;2068380;28.5
20241021;000000;2575;2609;2574;2584;1971093;35
20241022;000000;2591;2593;2552.5;2555;1953234;40.5
