<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240212;000000;157.3;157.72;154.22;155.46;14681400;3.5
20240213;000000;155.5;155.96;153.66;153.8;10282400;2.3
20240214;000000;154.12;154.68;151.24;151.86;15355900;3.44
20240215;000000;152.16;152.32;150.06;151.72;16377000;2.26
20240216;000000;151.88;152.92;150.1;150.36;15198300;2.82
20240219;000000;150.4;150.86;148.46;149.24;12557400;2.4
20240220;000000;149.3;149.58;144.28;144.8;25553600;5.3
20240221;000000;144.8;145.76;143.28;144.38;17744800;2.48
20240222;000000;144.9;145.56;143.3;143.72;10848200;2.26
20240226;000000;145.18;147.46;144.66;147.44;11015600;2.8
20240227;000000;147.4;147.4;144.8;145.14;9562600;2.6
20240228;000000;145.32;146.34;144.82;146.02;8695500;1.52
20240229;000000;146.38;147.22;145.54;145.68;8285600;1.68
20240301;000000;146;146.2;144.86;146.02;6709000;1.34
20240304;000000;146.16;150.16;146.14;150.08;18927500;4.02
20240305;000000;150.02;150.04;148.32;149.46;10932600;1.72
20240306;000000;149.52;151.34;148.64;150.84;15543100;2.7
20240307;000000;150.88;151.82;150.26;150.98;8797000;1.56
20240311;000000;151.46;152.28;149.74;150.28;13981700;2.54
20240312;000000;150.18;150.78;148.6;150.28;8354900;2.18
20240313;000000;150.66;151.68;149.5;149.98;8746400;2.18
20240314;000000;150.04;151.5;149.02;150.18;10809500;2.48
20240315;000000;150.34;151.2;149.86;150.7;5964600;1.34
20240318;000000;151.06;151.5;149.5;149.64;9709900;2
20240319;000000;149.6;150;147.08;147.76;14349100;2.92
20240320;000000;147.8;148.84;145.16;148.04;13644200;3.68
20240321;000000;148.42;150.52;146.84;149.3;15657600;3.68
20240322;000000;149.36;149.98;147.62;147.98;15192200;2.36
20240325;000000;147.98;152.7;146.88;151.38;15899700;5.82
20240326;000000;151.66;153.14;150.16;151.36;12154700;2.98
20240327;000000;151.62;153.22;151.24;153;9877400;1.98
20240328;000000;153.22;153.58;151.2;152.08;7534300;2.38
20240329;000000;152.5;152.5;151;151.1;6927400;1.5
20240401;000000;151.14;152.08;150.48;150.54;6300600;1.6
20240408;000000;152.52;156.38;152.12;152.96;22159520;4.26
20240409;000000;152.86;164;152.54;164;57170440;11.46
20240410;000000;164.02;165.8;161.1;163.3;35625760;4.7
20240411;000000;163.56;164.6;160.3;161.48;14828650;4.3
20240412;000000;161.98;167.48;161.64;164.8;34496960;5.84
20240415;000000;164.8;164.98;160.42;162.34;23976430;4.56
20240416;000000;162.3;162.3;158.24;158.92;19737090;4.06
20240417;000000;158.4;160.38;158.4;159.42;8969000;1.98
20240418;000000;159.42;160.76;157.44;158.62;5668870;3.32
20240419;000000;158.76;160.4;158.4;158.66;7115680;2
20240422;000000;158.48;160.88;157.64;159.3;9141350;3.24
20240423;000000;159.4;159.74;156.4;156.58;9054240;3.34
20240424;000000;156.52;157.84;155.14;155.82;7745140;2.7
20240425;000000;155.52;158;155.28;157.52;5798810;2.72
20240426;000000;157.58;157.86;155;156.54;5159170;2.86
20240427;000000;156.8;157;155.8;156.04;3345900;1.2
20240429;000000;156.4;156.9;153.9;155.16;4595360;3
20240430;000000;155.26;155.26;153.12;153.9;2881930;2.14
20240502;000000;153.9;156.88;153.68;154.48;5682310;3.2
20240503;000000;154.44;155.38;153.4;154.4;5293560;1.98
20240506;000000;154.42;156.8;153.1;155.8;8649630;3.7
20240507;000000;155.74;156.46;153.7;154.44;5886660;2.76
20240508;000000;154.54;154.7;153.5;153.82;4691600;1.2
20240510;000000;153.98;154.64;152.46;152.78;6040000;2.18
20240513;000000;152.8;152.9;151.58;152.04;5787880;1.32
20240514;000000;152.16;152.66;151.82;152.48;6623750;0.84
20240515;000000;152.58;152.98;151.04;152.68;8939690;1.94
20240516;000000;152.78;153.78;152.22;152.6;8647230;1.56
20240517;000000;152.98;157.3;152.6;156.3;27921250;4.7
20240520;000000;157.5;159.44;151.52;151.88;18536730;7.92
20240521;000000;151.62;153.38;148.12;148.92;23717450;5.26
20240522;000000;149;153;148;150;17898790;5
20240523;000000;149.82;155.76;146.7;154.06;45472000;9.06
20240524;000000;154.06;157.7;151.5;153.04;25447230;6.2
20240527;000000;153.04;153.88;148.62;149.8;14144420;5.26
20240528;000000;149.88;152.1;148.82;149.62;11346100;3.28
20240529;000000;149.6;153.04;149.26;152;7010200;3.78
20240530;000000;152.38;153;145.32;146.5;10651540;7.68
20240531;000000;146.36;147.94;138.14;139.98;16205760;9.8
20240603;000000;140.9;142.64;133.76;138.52;18387050;8.88
20240604;000000;138.54;143.02;136.4;140.8;14225020;6.62
20240605;000000;141.02;141.76;138.1;139.24;8078070;3.66
20240606;000000;139.3;141.8;138.72;141.8;6696990;3.08
20240607;000000;141.84;145.36;140.6;143.28;10186770;4.76
20240610;000000;143.42;143.96;138.12;139.14;7005720;5.84
20240611;000000;138.52;140.54;136.94;138.86;13240920;3.6
20240613;000000;135.42;140.18;132.62;139.18;9446010;7.56
20240614;000000;139.46;141.6;138.3;140.3;5617040;3.3
20240617;000000;140.64;140.86;138.52;138.54;4872510;2.34
20240618;000000;138.62;139.6;135.76;136.26;7220770;3.84
20240619;000000;136;136.26;130.6;134;13014510;5.66
20240620;000000;134.12;136.66;130.4;136.32;37098520;6.26
20240621;000000;136.5;138.88;133.7;134;9654620;5.18
20240624;000000;134;134.7;130.2;130.24;6850900;4.5
20240625;000000;130.3;131.82;128.2;131.18;14611250;3.62
20240626;000000;131.7;132.42;130.4;130.8;7652770;2.02
20240627;000000;130.96;131.26;129;129.32;8154100;2.26
20240628;000000;129.14;130.44;129;129.92;3930870;1.44
20240701;000000;130;132.66;128.84;132.5;10152930;3.82
20240702;000000;132.5;135.28;131.3;134.38;12590650;3.98
20240703;000000;134.96;135.52;132.22;132.66;12070460;3.3
20240704;000000;132.8;133.54;129.9;130.38;8390770;3.64
20240705;000000;130.74;134.46;129.6;134.34;9417540;4.86
20240708;000000;134.32;135;132.16;132.52;8049140;2.84
20240709;000000;132.52;133.08;128.52;129.14;7903480;4.56
20240710;000000;129.68;129.68;124.02;124.3;15439710;5.66
20240711;000000;124.68;126.88;124.58;126.1;13800540;2.3
20240712;000000;125.8;126.46;123.64;125.26;14376800;2.82
20240715;000000;125.24;125.84;122.24;122.76;7275230;3.6
20240716;000000;123.26;127.08;122.6;126.1;10421540;4.48
20240717;000000;126.48;127.44;124.24;125.26;8785330;3.2
20240718;000000;125.46;129.36;124.42;128.3;9013080;4.94
20240719;000000;128.54;129.5;127.2;128.5;12148890;2.3
20240722;000000;129.02;130.46;128.36;129.88;6288580;2.1
20240723;000000;129.96;130.34;127.62;128.08;5416210;2.72
20240724;000000;128.6;131.92;127.9;130.86;10314860;4.02
20240725;000000;130.48;131.1;129.28;129.56;4484710;1.82
20240726;000000;129.5;131.58;124.76;126.46;14248390;6.82
20240729;000000;126.08;127.98;124.5;125.2;7239710;3.48
20240730;000000;125.34;128;124;127.92;8857260;4
20240731;000000;128.16;130.72;127;130.16;6105370;3.72
20240801;000000;130.22;130.56;128.12;128.64;3657000;2.44
20240802;000000;128.54;128.86;127.28;128;3474010;1.58
20240805;000000;126;126.62;122.92;123.92;10317290;3.7
20240806;000000;124.24;125.78;124.24;124.88;4550160;1.54
20240807;000000;125.26;125.88;122.4;124.6;10410960;3.48
20240808;000000;124.9;125.52;122.64;122.88;5874060;2.88
20240809;000000;122.88;124.44;122.5;123.46;3482340;1.94
20240812;000000;123.1;126.08;122.62;125.7;6182080;3.46
20240813;000000;125.48;129.54;125.1;127.82;11201280;4.44
20240814;000000;127.98;128.42;125.38;125.76;7533250;3.04
20240815;000000;125.74;126.2;124.66;125;3059450;1.54
20240816;000000;125.16;127.8;124.22;125.88;5136470;3.58
20240819;000000;126.08;127.32;124;126;8430260;3.32
20240820;000000;126;126.2;124.02;124.18;5608370;2.18
20240821;000000;124.18;124.9;120.56;121.44;13776140;4.34
20240822;000000;121.3;122.28;117;118.9;12525920;5.28
20240823;000000;118.8;119.06;109.7;113.04;32470920;9.36
20240826;000000;114.28;118.48;114.24;118.44;13748820;4.24
20240827;000000;118.42;118.42;111.56;112.9;20173030;6.86
20240828;000000;112.84;113.34;110.04;112.1;16365380;3.3
20240829;000000;112.16;113.2;108.7;111.34;14497180;4.5
20240830;000000;112;112.06;104.62;108.58;22677660;7.44
20240902;000000;107.9;109.86;102.12;103.12;18174640;7.74
20240903;000000;103.18;107.5;102.24;104.02;18479350;5.26
20240904;000000;104.22;107;103.1;106.72;13674990;3.9
20240905;000000;107.1;107.28;104.06;104.88;12159850;3.22
20240906;000000;104.8;107.16;104.5;107.04;7661490;2.66
20240909;000000;107.28;108.9;105.86;108.1;13441860;3.04
20240910;000000;108.44;108.88;104.9;105.96;8890680;3.98
20240911;000000;105.96;106.38;103.06;103.6;11496150;3.32
20240912;000000;103.8;104.18;100.26;101.5;13883340;3.92
20240913;000000;101.28;102.88;99;102.62;20043550;3.88
20240916;000000;102.8;106.46;102.76;106.44;11656800;3.7
20240917;000000;106.54;107;104.78;106.82;9338200;2.22
20240918;000000;106.74;107.96;106.1;106.22;13634370;1.86
20240919;000000;106.34;111.42;105.72;111.2;26032350;5.7
20240920;000000;111.24;112.94;109.06;109.42;21753040;3.88
20240923;000000;110.08;110.76;108.6;110.34;15318780;2.16
20240924;000000;111;116;110.06;115.22;31306190;5.94
20240925;000000;115.86;118.2;112.54;114.02;38495060;5.66
20240926;000000;113.96;116.82;113.34;115.48;24447140;3.48
20240927;000000;115.68;116.46;112.68;115.4;34609150;3.78
20240930;000000;115.58;117.66;113.04;113.04;19362320;4.62
20241001;000000;112.76;113.96;109.92;110.6;30530020;4.04
20241002;000000;110.68;111.5;107.62;107.84;23642080;3.88
20241003;000000;107.82;107.98;105;106.46;30178730;2.98
20241004;000000;106.8;108;106.5;106.96;11580110;1.5
20241007;000000;107.02;107.38;104.62;106.22;19622610;2.76
20241008;000000;105.88;107;104.9;106.4;10420420;2.1
20241009;000000;106.34;106.82;103.36;103.82;19384550;3.46
20241010;000000;103.86;104.46;103.16;103.48;14759210;1.3
20241011;000000;103.5;103.86;101.5;101.56;16173910;2.36
20241014;000000;101.54;105.74;100.3;105.5;34037080;5.44
20241015;000000;105.44;108.78;104.5;108.5;33459910;4.28
20241016;000000;108.44;109.98;105.82;106.82;40695440;4.16
20241017;000000;106.72;107.24;103.54;104.2;26570970;3.7
20241018;000000;104.1;105.8;102.74;104.26;29963710;3.06
20241021;000000;104.34;107.58;104.1;106.14;21981770;3.48
20241022;000000;106.5;107.9;105.52;105.82;25317760;2.38
20241023;000000;105.5;107.44;103.68;104.16;22779240;3.76
20241024;000000;104.06;105.7;103.26;105.12;16355670;2.44
20241025;000000;105.28;106.28;100.5;101.34;28884390;5.78
20241028;000000;100.58;101.6;94.22;96.1;46041580;7.38
20241029;000000;96.22;100.7;95.08;99.74;28823990;5.62
20241030;000000;100;100.42;97.04;97.54;19596070;3.38
20241031;000000;97.3;99.46;96.76;99;20613530;2.7
20241101;000000;99.38;100;97.22;99.16;18703960;2.78
20241102;000000;98.98;100.88;98.32;100.8;7056700;2.56
20241105;000000;100.78;105;100.28;104.2;21071840;4.72
20241106;000000;105.5;108.48;105.1;105.9;36498280;3.38
20241107;000000;105.78;110.48;104.66;109.42;38567780;5.82
20241108;000000;109.26;112.4;108.08;111.58;41395160;4.32
20241111;000000;112.3;113.26;110.64;112.64;28532680;2.62
20241112;000000;112.46;114.84;111.12;113.5;27262290;3.72
20241113;000000;113.26;115.8;112.7;112.98;38602480;3.1
20241114;000000;112.96;114.6;110.56;111.68;22569560;4.04
20241115;000000;111.6;115.5;111.28;115.16;19896910;4.22
20241118;000000;112.3;115.8;111.7;114.46;34571050;4.1
20241119;000000;114.66;116.1;109.52;111;39991720;6.58
20241120;000000;111.2;112;106;108.28;29166920;6
20241121;000000;108.28;109.78;106.6;109.32;29958010;3.18
20241122;000000;109.44;109.96;106.76;108.52;24606140;3.2
20241125;000000;108.46;108.8;103.1;103.94;22353180;5.7
20241126;000000;103.58;106.5;101.86;104.08;26873550;4.64
20241127;000000;104.2;111.4;102.74;110.96;45812360;8.66
20241128;000000;111.42;112.24;108.08;110.08;33219790;4.16
20241129;000000;110.52;114;109.68;112.96;23176380;4.32
20241202;000000;113.2;114.9;112.72;114.1;17177140;2.18
20241203;000000;113.94;114.34;111.2;111.58;7124600;3.14
