<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240205;000000;224.26;225.36;219.38;221.5;1697260;5.98
20240206;000000;221.52;223.5;220;223.38;1118410;3.5
20240207;000000;223.62;229.7;223.52;227.18;4501760;6.18
20240208;000000;228;229.8;222.36;224.24;1749120;7.44
20240209;000000;224.2;226.06;223.08;224.6;676710;2.98
20240212;000000;225;225.4;222.7;223.56;596360;2.7
20240213;000000;223.56;229.44;223.5;227.74;1710960;5.94
20240214;000000;228.08;228.5;224.92;225.46;1361610;3.58
20240215;000000;225.5;235;223.96;232.7;8184780;11.04
20240216;000000;232.8;236.7;228.42;231.8;5752460;8.28
20240219;000000;231.8;237;226.4;227.84;3952320;10.6
20240220;000000;227.82;227.82;215.2;217.54;4543480;12.62
20240221;000000;218.02;219.76;208;216.42;4084920;11.76
20240222;000000;216.92;221;215.16;217.7;1662230;5.84
20240226;000000;211.44;221;209.2;220.62;2766520;11.8
20240227;000000;221.04;223.74;218.12;219.1;1976540;5.62
20240228;000000;219.78;222.9;218.92;221.5;1455210;3.98
20240229;000000;222.02;224.64;217.42;219.86;3905060;7.22
20240301;000000;220.06;221.48;217.5;217.5;2472000;3.98
20240304;000000;217.5;218.9;214.48;217.1;2106320;4.42
20240305;000000;217.44;217.5;215;215.42;1093140;2.5
20240306;000000;215.52;216.2;213;213.14;1902760;3.2
20240307;000000;213.02;219.98;211.76;217.86;4050040;8.22
20240311;000000;220.7;223.3;218;220.44;3237950;5.3
20240312;000000;220.44;223;218;222.08;2384710;5
20240313;000000;222.7;223.7;219.24;220.36;1645300;4.46
20240314;000000;220.16;220.26;215.52;218.48;1315540;4.74
20240315;000000;218.54;219.68;216.66;217.6;928960;3.02
20240318;000000;219.66;221.26;218.1;220;1292020;3.16
20240319;000000;220.1;220.62;217.5;218;1116850;3.12
20240320;000000;218.68;220.2;217.14;218.54;1003480;3.06
20240321;000000;218.8;219.66;214;218.26;1231550;5.66
20240322;000000;218.9;219.44;212.98;214.9;1426730;6.46
20240325;000000;215.46;220.66;215.02;218.78;1694900;5.64
20240326;000000;218.84;219.14;216.02;216.92;1025720;3.12
20240327;000000;217.44;217.9;215.92;216.6;1046330;1.98
20240328;000000;216.8;217.2;215.04;216.42;1034390;2.16
20240329;000000;216.42;218.94;216.2;216.4;1106160;2.74
20240401;000000;216.7;222.68;216.7;220.68;2848010;5.98
20240402;000000;220.5;222.88;218.5;219.86;1841240;4.38
