<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240219;000000;1410.6;1416;1385;1388.2;1095074;31
20240220;000000;1388.4;1401;1374.2;1379.2;1157708;26.8
20240221;000000;1380;1390;1338.8;1358.8;1382927;51.2
20240222;000000;1358.8;1362;1325.4;1337.4;2830387;36.6
20240226;000000;1337.8;1353.4;1330.4;1351.6;1158472;23
20240227;000000;1352.2;1377;1348;1375.2;1223160;29
20240228;000000;1372.8;1372.8;1343.4;1346.4;1089436;29.4
20240229;000000;1354;1357.8;1338.4;1349.6;972749;19.4
20240301;000000;1349.8;1355;1345;1348;684035;10
20240304;000000;1355;1357;1328;1337.8;2323050;29
20240305;000000;1339.2;1347.8;1326;1343.2;1127738;21.8
20240306;000000;1346;1389.8;1340.2;1385;2769283;49.6
20240307;000000;1387.8;1395;1374;1389.6;1402968;21
20240311;000000;1393;1399;1385.6;1396;1205983;13.4
20240312;000000;1397.2;1423.8;1389.4;1417.8;1961491;34.4
20240313;000000;1419.4;1426.8;1401;1406.6;1289937;25.8
20240314;000000;1406.8;1408.6;1377;1399.8;1160597;31.6
20240315;000000;1401;1408.4;1395.8;1400;549478;12.6
20240318;000000;1400.2;1415;1397.8;1404.6;711663;17.2
20240319;000000;1405;1408;1362.2;1370.8;1963581;45.8
20240320;000000;1380;1386.6;1350;1369.6;2259635;36.6
20240321;000000;1374.8;1385;1354.6;1360.8;2264125;30.4
20240322;000000;1363;1368;1335.2;1346;1831436;32.8
20240325;000000;1356.4;1367;1342.2;1365.4;2455612;24.8
20240326;000000;1322.8;1333.8;1311;1316.8;2673227;22.8
20240327;000000;1318.4;1319.8;1303.4;1304.6;1500328;16.4
20240328;000000;1305.6;1322;1303.4;1318.4;1382478;18.6
20240329;000000;1322.2;1329;1312;1312.6;992686;17
20240401;000000;1315.4;1320;1310;1316.6;1199515;10
20240402;000000;1313.8;1314.6;1272.6;1283.2;3319873;42
20240403;000000;1283;1290.2;1264.2;1287;2852070;26
20240404;000000;1290.6;1321;1289.6;1297.4;4445794;31.4
20240405;000000;1298.6;1306.8;1277;1283.8;1900626;29.8
20240408;000000;1286.6;1303.2;1278.8;1283.6;1375014;24.4
20240409;000000;1284;1287.8;1270;1274;1211554;17.8
20240410;000000;1274.8;1287.8;1267;1277.2;1316360;20.8
20240411;000000;1279.6;1288;1278;1283.2;978950;10
20240412;000000;1284.2;1295.2;1281;1283;1143104;14.2
20240415;000000;1284;1310;1284;1301;1584351;26
20240416;000000;1305;1305;1283.2;1292.8;970967;21.8
20240417;000000;1294;1295.2;1276.2;1283.8;1139422;19
20240418;000000;1284;1286.8;1275.4;1279.2;687170;11.4
20240419;000000;1282;1283.4;1274.2;1276.2;725626;9.2
20240422;000000;1271.6;1277.4;1260.6;1264.4;1707668;16.8
20240423;000000;1267.2;1269;1246.4;1249.8;1879700;22.6
20240424;000000;1249.8;1258.6;1247.2;1251.4;1203909;11.4
20240425;000000;1251.4;1254;1237.6;1239.6;1143441;16.4
20240426;000000;1242.2;1249.6;1234;1236.6;855937;15.6
20240427;000000;1236.8;1242;1227;1229;713273;15
20240429;000000;1229.6;1234.2;1227;1228.6;349058;7.2
20240430;000000;1230.8;1238.4;1229.2;1235.2;516425;9.2
20240502;000000;1236.6;1237.4;1227;1231;762641;10.4
20240503;000000;1231;1246.2;1231;1231.6;869986;15.2
20240506;000000;1236;1237.4;1221.2;1221.4;788881;16.2
20240507;000000;1222;1242;1221.4;1239.2;790910;20.6
20240508;000000;1241.8;1242.6;1225;1227.2;835308;17.6
20240510;000000;1229.8;1234;1228;1229.2;302550;6
20240513;000000;1231;1240;1228.2;1239.8;710514;11.8
20240514;000000;1240.2;1241;1220;1227.2;1079200;21
20240515;000000;1226.6;1231.6;1217.4;1222.8;970335;14.2
20240516;000000;1224.6;1231;1222;1224.8;684596;9
20240517;000000;1224.8;1228.8;1219.4;1221;564731;9.4
20240520;000000;1222;1222.4;1192.2;1195.4;1936412;30.2
20240521;000000;1195.2;1202.2;1157.2;1176;2510423;45
20240522;000000;1178;1191.6;1177.8;1184.4;901211;13.8
20240523;000000;1185.6;1186;1154;1164.8;1585618;32
20240524;000000;1164.8;1173.2;1120.2;1120.4;1921404;53
20240527;000000;1123.6;1142.2;1115.2;1130.8;2203464;27
20240528;000000;1132.8;1138.6;1095;1113.2;1792827;43.6
20240529;000000;1113.6;1121;1105.2;1117.8;927034;15.8
20240530;000000;1119;1123.8;1080;1085;1118586;43.8
20240531;000000;1088.2;1102;1067.2;1084;1543224;34.8
20240603;000000;1085.4;1100;1045.2;1073.6;2096175;54.8
20240604;000000;1075;1080;1053.8;1076.4;1388827;26.2
20240605;000000;1078.8;1079.6;1055;1057.8;1743974;24.6
20240606;000000;1060.2;1060.8;1032.2;1038.4;1809561;28.6
20240607;000000;1040.8;1051.4;1031.4;1034.4;2035989;20
20240610;000000;1040;1054;1019;1026;1880601;35
20240611;000000;1031.4;1078.8;1031;1078;6455850;47.8
20240613;000000;1005;1067;1005;1047;4615370;62
20240614;000000;1050;1090;1044;1089.6;3015603;46
20240617;000000;1088;1099;1053.2;1065;3306942;45.8
20240618;000000;1064;1067.8;1026;1033.2;2162758;41.8
20240619;000000;1035;1056.6;1016.2;1056;2671972;40.4
20240620;000000;1053.4;1066;1025;1054.8;6457615;41
20240621;000000;1053.2;1058;1035;1040;1410174;23
20240624;000000;1045;1057.4;1037;1043.2;1550684;20.4
20240625;000000;1044;1060;1039.6;1056.4;1267678;20.4
20240626;000000;1058.8;1066;1050;1056.4;1549464;16
20240627;000000;1059;1060;1045;1048.4;907804;15
20240628;000000;1049.6;1092;1046.8;1091.8;3928371;45.2
20240701;000000;1096.2;1105.8;1083;1097;3434783;22.8
20240702;000000;1100;1138;1094.2;1134.6;6301646;43.8
20240703;000000;1136.6;1143;1100.6;1101.4;5431564;42.4
20240704;000000;1103;1123;1084;1088.2;4030126;39
20240705;000000;1088.8;1104;1076;1096.6;3061275;28
20240708;000000;1098;1108;1081;1082.6;2342622;27
20240709;000000;1080.8;1091;1056;1062.2;2931199;35
20240710;000000;1060;1070;1010;1013;3020631;60
20240711;000000;1015.8;1049.8;1014;1045.8;2478887;35.8
20240712;000000;1049;1051.2;1021;1024.8;1563015;30.2
20240715;000000;1026.8;1029.8;997;1003.8;2531244;32.8
20240716;000000;1005.2;1028;972.2;1021.6;4611097;55.8
20240717;000000;1025.4;1051.6;1013;1034.6;3412612;38.6
20240718;000000;1036.2;1074;1022.8;1074;3594270;51.2
20240719;000000;1073.2;1101;1064;1085.8;4056041;37
20240722;000000;1092;1118.2;1087;1102.4;4344754;31.2
20240723;000000;1105;1105.2;1078.6;1086.6;3092533;26.6
20240724;000000;1089.4;1105;1079.4;1085.8;4776869;25.6
20240725;000000;1084.6;1097.8;1071;1090.4;2407174;26.8
20240726;000000;1090.4;1099;1056.4;1067.2;3749478;42.6
20240729;000000;1065;1065.2;1020;1020.8;3278192;45.2
20240730;000000;1020.8;1053.8;1010;1048.6;3421723;43.8
20240731;000000;1052.6;1056;1033;1043.6;1932629;23
20240801;000000;1045.4;1053.2;1027;1029;1563492;26.2
20240802;000000;1030;1037.4;1015.2;1018.4;1965518;22.2
20240805;000000;1000.8;1016.2;996.8;1005.2;3827113;19.4
20240806;000000;1015;1029.4;1001;1010.2;2728599;28.4
20240807;000000;1014;1020;997;1012;3461250;23
20240808;000000;1016;1029.2;1009.8;1018;3572627;19.4
20240809;000000;1017;1021.2;1012.2;1015;1284484;9
20240812;000000;1016.6;1039.4;1005.4;1035;2351515;34
20240813;000000;1035.6;1058;1029.4;1055;2977727;28.6
20240814;000000;1057;1070.8;1032;1035.6;3019588;38.8
20240815;000000;1037.4;1044.8;1026;1029;1269882;18.8
20240816;000000;1030.2;1036.6;1005.6;1008.4;3139994;31
20240819;000000;1012.6;1025;1008;1019.8;3205856;17
20240820;000000;1020.4;1031.8;997.2;1006;4997221;34.6
20240821;000000;1003.8;1008;976.4;995.4;7383514;31.6
20240822;000000;990.8;997.8;945;950.4;8332813;52.8
20240823;000000;950;954.8;907.2;924.8;10698491;47.6
20240826;000000;980.2;1019;970;1011.2;13544334;49
