<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240321;000000;7615.5;7650;7560;7604;114889;90
20240322;000000;7604.5;7608.5;7374.5;7410.5;475127;234
20240325;000000;7447;7640;7432.5;7611.5;306770;207.5
20240326;000000;7645.5;7700;7598.5;7689;189715;101.5
20240327;000000;7691;7749.5;7625;7709;305180;124.5
20240328;000000;7709.5;7878;7690;7740.5;690256;188
20240329;000000;7770;7968;7736;7896;447784;232
20240401;000000;7905.5;7988;7890;7943;283304;98
20240402;000000;7945;7965;7752.5;7818;374396;212.5
20240403;000000;7834;7860;7755;7804;227480;105
20240404;000000;7805;7920;7780;7864.5;218658;140
20240405;000000;7870;7943.5;7808.5;7840;172789;135
20240408;000000;7853;8000;7832;8000;282686;168
20240409;000000;8030;8065;7890;7935;212859;175
20240410;000000;7939.5;7967;7875.5;7918;117119;91.5
20240411;000000;7920;7958.5;7880;7880.5;68415;78.5
20240412;000000;7886.5;8000;7882;7991.5;205188;118
20240415;000000;7994.5;8258;7976.5;8248.5;453541;281.5
20240416;000000;8247.5;8365.5;8111.5;8232;427173;254
20240417;000000;8233.5;8257;8126.5;8160;138745;130.5
20240418;000000;8161.5;8192;8046.5;8078.5;230366;145.5
20240419;000000;8105.5;8230;8055;8181.5;152668;175
20240422;000000;8189;8281;8169;8204;216754;112
20240423;000000;8215.5;8300;8131;8211.5;260953;169
20240424;000000;8214.5;8277.5;8111;8153;210195;166.5
20240425;000000;8143.5;8198.5;8100;8122;72609;98.5
20240426;000000;8122;8329;8113.5;8310;249403;215.5
20240427;000000;8313;8330;8163;8235;229613;167
20240429;000000;8234.5;8360;8177;8324;192250;183
20240430;000000;8322;8431.5;8302.5;8405;170149;129
20240502;000000;8400;8430;8206;8283;165514;224
20240503;000000;8285;8321;8227;8259.5;133153;94
20240506;000000;8268.5;8306.5;8183.5;8209.5;96097;123
20240507;000000;8211;8294;8203;8267;134590;91
20240508;000000;8270;8316;8238;8247;104826;78
20240510;000000;8252;8380.5;8250.5;8370.5;104661;130
20240513;000000;8381;8425.5;8260;8313;192866;165.5
20240514;000000;8311;8362.5;8273.5;8290;136441;89
20240515;000000;8290;8470;8274;8444;231929;196
20240516;000000;8451;8488;8315;8355;251242;173
20240517;000000;8362;8379;8211;8230;185080;168
20240520;000000;8230.5;8325;8056.5;8145.5;291832;268.5
20240521;000000;8144;8268;8014;8199.5;451568;254
20240522;000000;8212.5;8233;8071;8090;163055;162
20240523;000000;8090.5;8178.5;8031;8082;232233;147.5
20240524;000000;8085;8140;7955;8057;329234;185
20240527;000000;8059.5;8100;7845;7872;194822;255
20240528;000000;7909.5;8050;7772;7818.5;226909;278
20240529;000000;7830;7882.5;7667.5;7874.5;277103;215
20240530;000000;7870;7917;7683;7692.5;200317;234
20240531;000000;7730;7745.5;7072;7072;1100582;673.5
20240603;000000;6999;7000;6334;6697;2030738;666
20240604;000000;6698;6845;6601;6828.5;581376;244
20240605;000000;6829.5;6903;6612;6636;532792;291
20240606;000000;6652.5;6724.5;6585.5;6692;246001;139
20240607;000000;6714;6895.5;6700.5;6744;513326;195
20240610;000000;6787;6799;6535;6580;253809;264
20240611;000000;6600;6634;6415;6486;385401;219
20240613;000000;6212.5;6640;6200;6491;526473;440
20240614;000000;6524.5;6670;6460;6620;226406;210
20240617;000000;6658.5;6738;6557;6619.5;206303;181
20240618;000000;6629.5;6724;6550;6556.5;222734;174
20240619;000000;6574.5;6593;6440;6579;236968;153
20240620;000000;6609;6641.5;6313;6572;658174;328.5
20240621;000000;6575;6596.5;6412;6457;191636;184.5
20240624;000000;6453;6497;6275;6281;277945;222
20240625;000000;6279;6400;6166;6390;310897;234
20240626;000000;6403.5;6415;6302.5;6375;233360;112.5
20240627;000000;6394;6394;6321.5;6340.5;111874;72.5
20240628;000000;6349.5;6393;6295.5;6369;156639;97.5
20240701;000000;6389.5;6600;6380.5;6558;364850;219.5
20240702;000000;6574;6620;6535;6592;192336;85
20240703;000000;6599;6649.5;6505;6530;229529;144.5
20240704;000000;6529;6564;6432;6470;143845;132
20240705;000000;6448.5;6508;6400.5;6435;130282;107.5
20240708;000000;6460.5;6507.5;6362;6392;103416;145.5
20240709;000000;6400;6443.5;6130;6136;231221;313.5
20240710;000000;6134;6188;5802;5835.5;468001;386
20240711;000000;5835;6284.5;5805;6241.5;434732;479.5
20240712;000000;6242;6333;6080;6215;542106;253
20240715;000000;5856;5932.5;5820;5890;460133;112.5
20240716;000000;5895.5;5942.5;5616;5912;437878;326.5
20240717;000000;5945;5958.5;5757;5790;188383;201.5
20240718;000000;5799.5;6048.5;5776;6006.5;203920;272.5
20240719;000000;5992.5;6138;5953;6113;192573;185
20240722;000000;6140;6174.5;6035;6079.5;132136;139.5
20240723;000000;6069.5;6076.5;6000;6039.5;82980;76.5
20240724;000000;6029;6072;5915;5934;233866;157
20240725;000000;5928;5966;5873.5;5902.5;237776;92.5
20240726;000000;5913.5;5989;5806;5932;272886;183
20240729;000000;5929;5930;5718.5;5757.5;181206;211.5
20240730;000000;5745.5;5800;5680;5797.5;238699;120
20240731;000000;5796;5840;5731;5750.5;166032;109
20240801;000000;5755.5;5780;5670;5690.5;134865;110
20240802;000000;5690.5;5716;5632.5;5639;154734;83.5
20240805;000000;5590;5598.5;5450.5;5505;231240;148
20240806;000000;5526;5580;5450.5;5482;160051;129.5
20240807;000000;5495;5622.5;5425.5;5565.5;182567;197
20240808;000000;5581;5640;5444;5464.5;131921;196
20240809;000000;5461.5;5562;5408;5508;112527;154
20240812;000000;5499;5530;5470;5510.5;76063;60
20240813;000000;5535.5;5631.5;5526;5631.5;144792;105.5
20240814;000000;5636.5;5700;5513;5559;158956;187
20240815;000000;5564;5594.5;5460;5480;96623;134.5
20240816;000000;5488.5;5525;5358;5371;121400;167
20240819;000000;5393;5435;5180.5;5241;330927;254.5
20240820;000000;5243.5;5313;5176.5;5244;243578;136.5
20240821;000000;5243.5;5285;5164.5;5211;208676;120.5
20240822;000000;5219;5244;4973;5088.5;342929;271
20240823;000000;5088;5094.5;4901.5;4948.5;423885;193
20240826;000000;5070;5150;4977;5138;293578;173
20240827;000000;5158;5206.5;4986.5;4998;228453;220
20240828;000000;4999.5;5006;4867;4926;243240;139
20240829;000000;4937;5101;4810;4999;466656;291
20240830;000000;5043;5054.5;4673;4720;578188;381.5
20240902;000000;4653;4685;4520.5;4595;521348;164.5
20240903;000000;4600.5;4685.5;4535;4610;373929;150.5
20240904;000000;4610.5;4715.5;4562.5;4705;281197;153
20240905;000000;4730;4856;4668;4712.5;301694;188
20240906;000000;4712;4799.5;4642;4756;179274;157.5
20240909;000000;4766;4919;4757;4910;226408;162
20240910;000000;4933;5035;4832.5;4883;412233;202.5
20240911;000000;4880.5;4953.5;4751.5;4793.5;296456;202
20240912;000000;4789.5;4843;4670;4725.5;301265;173
20240913;000000;4736;5018;4661;4998;789691;357
20240916;000000;5020;5373.5;5002.5;5359.5;671561;371
20240917;000000;5355;5694.5;5340;5694.5;2658976;354.5
20240918;000000;5757;5757;5585;5597.5;1596434;172
20240919;000000;5584.5;5646;5485;5605;819482;161
20240920;000000;5607;5959.5;5605;5919.5;1134737;354.5
20240923;000000;5917.5;5944.5;5833;5874.5;870333;111.5
20240924;000000;5882;5902;5775.5;5848;549921;126.5
20240925;000000;5835;6021;5723;5763.5;755634;298
20240926;000000;5725.5;5810;5660.5;5789.5;513165;149.5
20240927;000000;5789.5;5837;5716.5;5759;232125;120.5
20240930;000000;5774.5;5828.5;5637;5667;398130;191.5
20241001;000000;5667;5893;5232;5244;3366968;661
20241002;000000;5230.5;5270;4991;5056;1830165;279
20241003;000000;5036;5129.5;5006;5099.5;847188;123.5
20241004;000000;5121.5;5134;5025;5076;339047;109
20241007;000000;5090;5122.5;5045;5069.5;233286;77.5
20241008;000000;5055;5070;4915.5;4930;475483;154.5
20241009;000000;4929.5;4974.5;4870;4889.5;355339;104.5
20241010;000000;4900;4995.5;4881;4968;290694;114.5
20241011;000000;4969.5;4974.5;4901;4902;203206;73.5
20241014;000000;4902;4945;4813.5;4923.5;368959;131.5
20241015;000000;4916;5010;4893.5;5007;315843;116.5
20241016;000000;5011;5035;4943;4970;268832;92
20241017;000000;4970;4991.5;4855;4882.5;181485;136.5
20241018;000000;4895.5;4900;4835.5;4861;145547;64.5
20241021;000000;4867;4885;4809;4818;177231;76
20241022;000000;4813.5;4875.5;4773;4814;240327;102.5
20241023;000000;4813.5;4819;4730;4730;179444;89
20241024;000000;4729.5;4753.5;4630;4673.5;288268;123.5
20241025;000000;4693.5;4748.5;4470;4504.5;543492;278.5
20241028;000000;4480;4480;4267;4376;572094;213
20241029;000000;4384;4449.5;4325;4404;312347;124.5
20241030;000000;4435.5;4569;4390;4408;345280;179
20241031;000000;4414.5;4497;4338;4486;419376;159
20241101;000000;4489;4561.5;4473.5;4529.5;392409;88
20241102;000000;4547;4579;4501.5;4520;109160;77.5
20241105;000000;4552;4563.5;4454;4529.5;150755;109.5
20241106;000000;4566;4700;4563;4625.5;390368;137
20241107;000000;4625.5;4781;4567;4776.5;275104;214
20241108;000000;4814;4860;4737.5;4856.5;318631;122.5
20241111;000000;4896.5;4924;4835;4917;251074;89
20241112;000000;4910.5;4923;4792;4802.5;207404;131
20241113;000000;4796;4910;4788;4840;185880;122
20241114;000000;4821.5;4884.5;4742;4789.5;149526;142.5
