<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240830;000000;485.65;489.2;473.2;475.85;6640817;16
20240902;000000;473.2;474.8;450.25;455.05;7177948;24.55
20240903;000000;456.45;471.7;452.85;468.85;8079341;18.85
20240904;000000;467.8;483.55;464;477.75;5754350;19.55
20240905;000000;480.35;486.75;474.75;477.15;3722345;12
20240906;000000;477.2;484.75;475;479.1;2093392;9.75
20240909;000000;479.9;494.2;479.85;493.8;3004636;14.35
20240910;000000;494.15;496.25;476.2;482.35;4005978;20.05
20240911;000000;482.5;489.5;475.35;477.75;3206641;14.15
20240912;000000;478.7;489.85;474.1;488.45;3693537;15.75
20240913;000000;488.35;498.5;478;498;4975628;20.5
20240916;000000;500.9;516.5;498.3;516.3;5143933;18.2
20240917;000000;518.45;519.5;508.3;517.95;3063887;11.2
20240918;000000;517.9;519.9;506.15;510.25;2681826;13.75
20240919;000000;511.35;516.2;507.2;512.55;2817829;9
20240920;000000;512.45;528.25;510.75;528.15;6627227;17.5
20240923;000000;528.95;532;523.45;526.1;3956827;8.55
20240924;000000;526.65;526.9;517.7;522.1;3266782;9.2
20240925;000000;521.6;524.95;509.5;512.4;3025024;15.45
20240926;000000;510.35;515.95;506;512.7;2866346;9.95
20240927;000000;513.2;514.55;507.75;511;2195441;6.8
20240930;000000;512.45;516.2;503.05;507.4;3071670;13.15
20241001;000000;506;512.85;493.5;509.75;7107893;19.35
20241002;000000;509.8;511.9;494;499.95;7061135;17.9
20241003;000000;499.85;502.7;488.65;500;7574750;14.05
20241004;000000;502.4;509.45;498.55;501.9;5660583;10.9
20241007;000000;502.35;505.6;493.2;503.5;5638733;12.4
20241008;000000;500.05;505;498;501.8;3779310;7
20241009;000000;502.95;502.95;491.4;495.85;5221921;11.55
20241010;000000;495.8;499.4;493.55;497.75;1972074;5.85
20241011;000000;497.85;499;490.6;492.15;2498536;8.4
20241014;000000;492.1;501.2;486.75;496;3823742;14.45
20241015;000000;495.75;500;492.85;498.4;3390587;7.15
20241016;000000;498.45;503.9;495.15;496.45;3734901;8.75
20241017;000000;496.45;497.2;485.55;486.95;4403286;11.65
20241018;000000;487;488.75;482.3;487.8;2518545;6.45
20241021;000000;488.05;490;484.05;484.7;2063901;5.95
20241022;000000;484.5;485.4;478.45;479;3130553;6.95
20241023;000000;478.5;480.35;467.2;469;4359392;13.15
20241024;000000;469.55;472.1;464.1;469.75;4011677;8
20241025;000000;469.6;470.65;455.5;456.1;6546239;15.15
20241028;000000;451.25;455.4;433.3;434.75;8581299;22.1
20241029;000000;434.8;446.55;434.5;442.35;7589756;12.05
20241030;000000;443;449.5;438.1;439.05;6093456;11.4
20241031;000000;438.8;442.35;429.1;434.1;5968005;13.25
20241101;000000;435;449.2;433.5;444.35;9634519;15.7
20241102;000000;444.3;457;441.9;457;5093391;15.1
20241105;000000;460.05;465.6;457.5;460.5;4409489;8.1
20241106;000000;471.4;478.75;463.45;466.85;7674001;15.3
20241107;000000;467.1;475.55;455.95;475.5;4021002;19.6
20241108;000000;477.6;482;470.1;481.5;5803483;11.9
20241111;000000;492.05;498.8;487.3;490.6;11315369;11.5
20241112;000000;489.4;493.9;480.85;482.05;5369836;13.05
20241113;000000;480.25;493.65;475.7;480.35;8473157;17.95
20241114;000000;480.2;483.45;471;473.3;4705336;12.45
20241115;000000;472.95;480.95;469.5;480.1;3981560;11.45
20241118;000000;472.5;477.95;468.7;471.95;4441158;9.25
20241119;000000;472.75;473.9;454.4;459.7;6148991;19.5
20241120;000000;461;462.6;444.4;449.25;6283309;18.2
20241121;000000;451.05;459.35;443.65;458.95;6669932;15.7
20241122;000000;459;464.75;452.05;459.9;5819414;12.7
20241125;000000;459.9;466.3;445.8;453.65;9306846;20.5
20241126;000000;452.45;459;445.75;450.8;5563203;13.25
20241127;000000;452.1;474.6;447.6;474.15;13010214;27
20241128;000000;476.1;486;468.05;474.85;6572214;17.95
20241129;000000;470;484;469.55;478;5828746;14.45
20241202;000000;484.05;491;481.25;489.3;5109217;9.75
20241203;000000;489.4;490.95;483.25;487.35;1243746;7.7
