<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240724;000000;2895;2977.5;2820;2929.5;144914;157.5
20240725;000000;2933.5;2934.5;2881;2922.5;57216;53.5
20240726;000000;2922.5;2952.5;2778.5;2809.5;219331;174
20240729;000000;2798.5;2800;2710;2762.5;207369;90
20240730;000000;2755;2814;2728;2787;85485;86
20240731;000000;2789;2804.5;2744;2769;54543;60.5
20240801;000000;2767.5;2793.5;2735;2738;70542;58.5
20240802;000000;2730;2738;2635;2646.5;169316;103
20240805;000000;2610;2632.5;2530.5;2552;220321;102
20240806;000000;2565;2610;2551;2570.5;91637;59
20240807;000000;2570.5;2666.5;2539.5;2633;140556;127
20240808;000000;2638;2640;2563;2575.5;100830;77
20240809;000000;2575.5;2614.5;2549;2603.5;83866;65.5
20240812;000000;2604;2606.5;2540.5;2545.5;90787;66
20240813;000000;2545.5;2610;2545.5;2609;93776;64.5
20240814;000000;2604;2609.5;2562.5;2580;85469;47
20240815;000000;2580.5;2586.5;2500.5;2506;134421;86
20240816;000000;2505;2522;2445;2458;136147;77
20240819;000000;2470.5;2483.5;2400;2417;218513;83.5
20240820;000000;2417;2440;2347;2358.5;160620;93
20240821;000000;2364;2462.5;2338.5;2414.5;240847;124
20240822;000000;2415;2429;2303;2321.5;144263;126
20240823;000000;2319.5;2327.5;2102;2197.5;549275;225.5
20240826;000000;2270;2276.5;2222;2253.5;180634;54.5
20240827;000000;2260;2267.5;2187;2190;126143;80.5
20240828;000000;2181;2188.5;2030;2080;427670;158.5
20240829;000000;2083;2089.5;1962;2039;780117;127.5
20240830;000000;2035;2037.5;1913.5;1926.5;479396;124
20240902;000000;1896;1897;1765;1765.5;795177;132
20240903;000000;1764;1888.5;1751;1819.5;837755;137.5
20240904;000000;1819.5;1977;1779.5;1947;632181;197.5
20240905;000000;1953;2065;1921.5;1940;755155;143.5
20240906;000000;1940;1990;1906;1958;388185;84
20240909;000000;1972;2035;1936.5;2022.5;317907;98.5
20240910;000000;2037;2043;1920;1938;452199;123
20240911;000000;1939;1948;1805.5;1810;759510;142.5
20240912;000000;1803.5;1810;1780;1808.5;625822;30
20240913;000000;1807.5;1870;1720;1866;1393771;150
20240916;000000;1890;1922;1845.5;1909;715467;76.5
20240917;000000;1916;1918.5;1813.5;1844;836965;105
20240918;000000;1845;1847;1790;1799;784896;57
20240919;000000;1796.5;1835;1774;1810.5;620582;61
20240920;000000;1813.5;1841;1805.5;1826;351186;35.5
20240923;000000;1840;1889;1817.5;1885;567037;71.5
20240924;000000;1910.5;1980;1880.5;1978;1311167;99.5
20240925;000000;1968;1985;1872.5;1902.5;978280;112.5
20240926;000000;1895;1938.5;1860.5;1914;569293;78
20240927;000000;1927.5;1959;1909.5;1955;319683;49.5
20240930;000000;1967.5;2013.5;1905.5;1909;618765;108
20241001;000000;1906;1933.5;1872.5;1926;429863;61
20241002;000000;1926;1943.5;1812.5;1846;513459;131
20241003;000000;1846;1899.5;1830.5;1892.5;482317;69
20241004;000000;1896.5;1917;1852.5;1876.5;260906;64.5
20241007;000000;1876.5;1885;1828;1846.5;272524;57
20241008;000000;1847.5;1848.5;1825;1826;154862;23.5
20241009;000000;1826;1828;1805;1813.5;316177;23
20241010;000000;1813.5;1857;1811.5;1819;305977;45.5
20241011;000000;1819.5;1859;1810.5;1831;244248;48.5
20241014;000000;1833.5;1867;1795.5;1856;467379;71.5
20241015;000000;1855;1899;1844;1878.5;269335;55
20241016;000000;1882;1908;1867;1884;230324;41
20241017;000000;1884.5;1889.5;1832.5;1833;192997;57
20241018;000000;1839.5;1860;1816;1848;185547;44
20241021;000000;1857;1858;1811;1818.5;179726;47
20241022;000000;1817.5;1840.5;1781;1783.5;287873;59.5
20241023;000000;1780;1805.5;1735.5;1746;443501;70
20241024;000000;1733;1763.5;1641;1671;1280632;122.5
20241025;000000;1661;1687.5;1560;1592.5;2107409;127.5
20241028;000000;1560;1570;1492;1513.5;1182157;78
20241029;000000;1513;1529.5;1430;1494.5;2344371;99.5
20241030;000000;1494;1499.5;1416.5;1417;1780874;83
20241031;000000;1408;1427;1310;1336;2961568;117
20241101;000000;1333;1408;1299;1381.5;5547942;109
20241102;000000;1388.5;1445.5;1364.5;1438;1700453;81
20241105;000000;1442.5;1447;1374.5;1400;2505071;72.5
20241106;000000;1460.5;1478;1356.5;1369;3576662;121.5
20241107;000000;1300;1313;1234.5;1271.5;6611650;78.5
20241108;000000;1273;1328.5;1236.5;1325;4965666;92
20241111;000000;1331.5;1347;1278.5;1320;3596086;68.5
20241112;000000;1309;1364;1291;1338;3469641;73
20241113;000000;1339;1412;1315;1321;5335220;97
20241114;000000;1318;1355.5;1316;1343;2121683;39.5
20241115;000000;1340;1371.5;1333;1365;1570449;38.5
20241118;000000;1345;1409;1334;1363;2999192;75
20241119;000000;1357.5;1369;1308.5;1336.5;1770435;60.5
