<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20231211;000000;265.17;266.47;254.81;256.89;77590450
20231212;000000;256.79;262.88;255.05;257.6;63807080
20231213;000000;257.58;261.39;256.5;260.45;29760860
20231214;000000;261.4;262.75;255.58;256.64;40477500
20231215;000000;256.61;268.91;256.61;268.21;84643800
20231218;000000;268.9;270.44;266.54;268.4;51515190
20231219;000000;268.35;269.71;265;267.35;38229660
20231220;000000;267.52;269.1;266.2;266.61;30929220
20231221;000000;266.55;266.87;263.5;265.19;33214370
20231222;000000;266.07;271.9;265.37;271.3;58687300
20231225;000000;271.75;273.85;270.05;271.08;37827910
20231226;000000;271;272.89;270;271.9;22575240
20231227;000000;271.9;272.59;270.85;271.08;17191450
20231228;000000;270.99;272.48;268.52;271.74;29416450
20231229;000000;272.08;272.59;270.55;270.82;20792860
20240103;000000;271.75;274.7;271;274.56;20408560
20240104;000000;274.68;275.48;273.7;274.12;11679550
20240105;000000;274.3;274.69;272.8;273.62;9622380
20240108;000000;273.59;277;273.53;276.76;21427450
20240109;000000;276.94;278;274.71;275.28;20263120
20240110;000000;275.3;276.16;273.64;274.49;20618950
20240111;000000;274.62;275.97;274.01;275.71;19520470
20240112;000000;275.9;276.96;274.77;275.84;17608350
20240115;000000;276.3;277.73;275.21;275.96;21283290
20240116;000000;276.24;276.45;274.1;276.01;16084140
20240117;000000;276.02;279.17;275.75;278;34137100
20240118;000000;278.22;278.87;276.76;277.07;17671830
20240119;000000;277.39;277.47;273.55;274.86;28038880
20240122;000000;274.89;275.9;273.85;274.93;15050630
20240123;000000;274.69;277.26;274.31;275.9;20017040
20240124;000000;275.94;276.44;273.7;273.77;20187430
20240125;000000;274.03;274.18;271.55;272.81;24422490
20240126;000000;273.1;273.72;272.21;272.65;11102660
20240129;000000;273.05;274.95;272.7;274.05;17043130
20240130;000000;274.05;277.25;273.97;275.67;27222730
20240131;000000;275.8;276.45;275;276;12527800
20240201;000000;276.07;277.75;275.93;276.86;15941680
20240202;000000;277.01;277.3;276;276.74;12688460
20240205;000000;276.94;278.57;276.9;277.84;16017040
20240206;000000;278;278.99;277.3;278.67;15925370
20240207;000000;278.81;284.5;278.81;284.41;45347300
20240208;000000;284.56;286.24;281.25;282.17;44060410
20240209;000000;282.16;284;281.5;283.5;24301430
20240212;000000;283.67;287.84;283.5;287.28;33867350
20240213;000000;287.52;289;285.4;287.07;33266090
20240214;000000;287.08;290.6;286.84;289.06;35814960
20240215;000000;289.26;290.45;287.63;290.24;25888540
20240216;000000;290.47;292.3;286.25;288.33;53426930
20240219;000000;288.59;289.98;287.07;288.93;24275510
20240220;000000;289.23;289.28;283.29;283.9;44931560
20240221;000000;283.91;285.28;280.2;282;48809450
20240222;000000;282.24;285.05;282.1;284.77;25107350
20240226;000000;288.52;291.3;287;291.25;42606720
20240227;000000;291.34;293;290.55;292.52;32411030
20240228;000000;292.61;293.95;289.75;291.75;49212360
20240229;000000;292.3;293.2;291.3;292.19;22398680
20240301;000000;292.21;295.88;292.21;295.38;27050460
20240304;000000;295.8;299.5;295.8;299.17;40526260
20240305;000000;299.32;300.41;297.57;298.4;41691010
20240306;000000;298.19;299.33;296.82;297.71;17675740
